top - 22:41:29 up  4:30,  1 user,  load average: 0.74, 0.76, 0.78
Tasks: 238 total,   3 running, 233 sleeping,   0 stopped,   2 zombie
%Cpu(s):  7.3 us,  3.2 sy,  0.0 ni, 89.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   7893.1 total,   1954.5 free,   1915.2 used,   4023.3 buff/cache
MiB Swap:   8172.0 total,   8172.0 free,      0.0 used.   5793.4 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  132 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_1
  135 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 stmmac_wq
  143 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipv6_addr+
  152 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kstrp
  268 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0+
  270 root      20   0       0      0      0 S   0.0   0.0   0:00.29 jbd2/nvme+
  271 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rsv-+
  282 root       0 -20       0      0      0 I   0.0   0.0   0:00.03 kworker/6+
  300 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ttm_swap
  302 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 comp_1.0.0
  303 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 comp_1.1.1
  339 root       0 -20       0      0      0 I   0.0   0.0   0:00.03 kworker/7+
  355 root      20   0       0      0      0 I   0.0   0.0   0:00.00 fs_work
  356 root      20   0       0      0      0 I   0.0   0.0   0:00.00 lightfig
  357 root      20   0       0      0      0 I   0.0   0.0   0:00.00 lightfigw+
  358 root      20   0       0      0      0 I   0.0   0.0   0:00.00 lightoran+
  363 root      20   0   21160   5212   3640 S   0.0   0.1   0:04.03 systemd-u+
  516 root       0 -20       0      0      0 I   0.0   0.0   0:00.04 kworker/5+
  517 root       0 -20       0      0      0 I   0.0   0.0   0:00.03 kworker/4+
  518 root       0 -20       0      0      0 I   0.0   0.0   0:00.04 kworker/2+
  522 root      20   0       0      0      0 S   0.0   0.0   0:01.27 jbd2/nvme+
  523 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rsv-+
  524 root      20   0       0      0      0 S   0.0   0.0   0:00.00 jbd2/nvme+
  525 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rsv-+
  526 root      20   0       0      0      0 S   0.0   0.0   0:00.00 jbd2/nvme+
  528 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rsv-+
  550 root       0 -20       0      0      0 I   0.0   0.0   0:00.02 kworker/1+
  566 systemd+  20   0   89456   4220   3320 S   0.0   0.1   0:00.08 systemd-t+
  569 root      20   0    7780   4444   1328 S   0.0   0.1   0:03.15 haveged
  574 root      16  -4   13884   1864   1472 S   0.0   0.0   0:00.02 auditd
  615 root      20   0  230576   5168   4552 S   0.0   0.1   0:00.04 iio-senso+
  616 root      20   0   14692   2644   2392 S   0.0   0.0   0:00.03 cron
  621 root      20   0  220440   4180   2908 S   0.0   0.1   0:03.25 rsyslogd
  622 root      20   0   15640   6760   5728 S   0.0   0.1   0:00.42 systemd-l+
  632 root      20   0  409976  16804  13480 S   0.0   0.2   0:00.61 udisksd
  635 root      20   0   12560   5488   4848 S   0.0   0.1   0:00.08 wpa_suppl+
